student_id,avg_daily_study_hours,login_frequency_per_week,course_completion_rate,assignment_submission_rate,videos_watched_per_week,avg_quiz_score,avg_session_duration_minutes,inactive_days_last_30,forum_participation_count,content_rewatch_rate,at_risk
104704,3.160582615970983,13,0.6805760519689465,0.8047944100859272,25,87.88118992632022,20.17561423896077,6,12,0.16097912573133255,0
100982,1.9263930125350872,6,0.8247402612181194,0.6714240274461428,25,74.20703798166194,28.650466694127207,6,13,0.16456192649685528,0
101115,3.8203448313512447,12,0.9311737299407428,0.7356886864618134,17,73.88244918030496,21.271747464901686,5,5,0.3663786412479567,0
104222,5.091741173774947,8,0.8685986680129847,0.7633979685838319,15,83.36270053916074,86.7316204287052,6,3,0.39974878364585864,0
102654,4.570270514071673,8,0.7642704993130801,0.8138895680872252,20,57.065443298556744,40.57260798822897,1,6,0.1377744551688333,0
100101,4.045641645055122,13,0.8707998421463143,0.6818688476083126,7,70.55545019619485,67.71392715510225,6,2,0.1367377398665383,0
104010,1.6386908169042655,14,0.6563276872535181,0.8801344621439873,23,58.48221151721042,78.03119937730187,4,9,0.14972241745997344,0
104874,2.699590371978145,12,0.8125593227985288,0.6545164689491305,20,87.3121856012499,53.052451785325594,3,14,0.1288671812233903,0
100538,3.302176541240374,9,0.8534928020230548,0.7659117449353737,24,56.06499874826274,78.87967278938396,4,11,0.16966349856767723,0
102131,1.5504300799030362,7,0.9629062851259271,0.9844117502700724,25,67.76942288186332,84.22486675374384,4,9,0.3089410452121849,0
104680,2.5822370259519656,8,0.6654838610036201,0.940927231982586,25,72.00494636892358,61.88731328278012,4,6,0.3427723676147445,0
101345,3.2019733377923014,9,0.8536760307684763,0.8436893683503636,9,56.534044590555425,79.62178174158419,4,1,0.12013102758047484,0
105271,2.016284987723526,5,0.933004867410717,0.6687087417317037,15,59.3392298026,36.09454926874835,4,5,0.2960312356506313,0
102157,2.8917656463286665,9,0.6586523260110326,0.9741149687741166,15,74.64213412731014,40.11865718369616,5,4,0.3081523498406983,0
100476,1.7951862589415954,12,0.6407735221530434,0.6729184836405767,11,58.0445591988381,86.70343887658967,6,6,0.3983032556980157,0
104213,2.434963168146977,7,0.8695791673314368,0.729356012581105,20,62.687625080034934,89.87643064927568,4,7,0.3535431263387233,0
103705,5.039420470784018,10,0.8013511811776957,0.7959506547133907,5,87.17465152129205,27.027067389553146,2,13,0.13496554279327974,0
101420,2.764624419907002,5,0.7507580067540855,0.6897795891731471,12,80.83882152519232,32.17072612378112,3,13,0.2071144268249878,0
106012,5.415789423418648,8,0.6604052469708425,0.7374381245801409,22,64.23085440331974,42.354300358002014,2,5,0.20361734934870468,0
102802,5.274806371280883,11,0.9762326146941191,0.9467514514166657,9,62.769908573235085,74.14457257110722,4,3,0.16783257585893013,0
100230,4.679245214166594,14,0.9575234172866522,0.9333175044427588,10,88.70404190099508,36.354736864318326,4,8,0.3436942981456782,0
103221,2.145451204221535,12,0.86137336769912,0.7887202060408629,18,58.31828949677001,20.157713803492808,6,14,0.1308650637124598,0
101926,3.852809067793562,11,0.8234293686833064,0.7165132350820563,22,66.58641948521688,56.55762080184232,2,3,0.24855706741504568,0
105856,2.0755046215591206,14,0.6819651922106157,0.80811919108849,7,56.98202251978353,24.957679631283092,5,15,0.37348475868148423,0
103274,4.844470812828995,4,0.8763230497224272,0.6925541574801843,19,83.75489753408294,39.34408051768832,0,8,0.20831538802520727,0
103315,4.146737153599426,10,0.6584885953842109,0.8952142782734107,7,67.10542521495171,55.35361408904915,0,15,0.2386225231107428,0
100743,3.5108815603699166,4,0.9772937133387876,0.7139411272175696,16,84.73924286585913,45.2101480958806,3,3,0.38009775444159843,0
101860,4.6057897859988985,11,0.8121331024278537,0.8700117241221315,21,62.70314762304209,76.74246287703274,3,8,0.1584758102759887,0
106304,0.26323701579696296,0,0.3882024944907638,0.006468502561294088,0,42.57002303656791,10.450800641258141,10,0,0.7648058930515493,1
105939,2.6251382542121364,7,0.7579841710441395,0.9796466229309566,14,66.11906609614856,50.85655816986236,0,10,0.15296126470280066,0
104886,2.8717186510367836,7,0.6450846730995635,0.6680164894234978,11,61.92942563073453,47.23213441094314,1,10,0.25535635246011906,0
105613,2.478620218418852,9,0.6390644307240322,0.7483104278133821,16,82.68669100941776,87.62630875280544,2,10,0.2538271846767348,0
102986,1.7066748866318444,6,0.8233879862920277,0.9623723610011581,15,82.40824960163118,20.34696143014486,2,2,0.32889259760750783,0
103410,3.144766071978344,13,0.9361970033662987,0.9559596125865975,20,59.07864872072442,32.311361355159114,3,3,0.29806835204861876,0
105698,5.436357855866056,8,0.7307386788522863,0.828646478442658,17,62.64957519503902,64.80175337506492,3,2,0.1706839791391716,0
102486,3.4336297438925865,9,0.6582730109317473,0.982212307040518,6,57.96499407297805,66.13745646971131,4,11,0.3001819499721177,0
104712,2.526588828744383,13,0.6912489613281313,0.7619660477270046,13,66.40299016396722,51.643761980314245,1,1,0.14144829762369904,0
103319,4.59123829316135,13,0.9586325343855955,0.9575032494189517,18,58.246086458255455,61.27550895300107,3,15,0.2756050867012711,0
100239,2.2084427176281958,14,0.8759554928953615,0.9768167419323629,12,63.2978491725945,50.81328579781822,2,6,0.3420738645414683,0
103816,2.9368349879307614,4,0.9034594370969788,0.7732406024960959,17,84.04368462933847,51.146358479039186,2,1,0.11334370946400424,0
100676,1.9481556086722094,4,0.7027253924068957,0.9762919279350637,25,61.11236026581115,20.216862560472823,0,2,0.3945684031285981,0
104687,1.5428611907814358,8,0.6267895064494297,0.8543714324898103,14,79.70428708183493,44.938083828777195,4,9,0.3126641922169454,0
105214,3.075020566261627,4,0.967365403638802,0.9873705267050403,16,68.86146705737025,72.94457976492131,3,12,0.15237156131753793,0
101945,3.5690762257664375,4,0.691044231456709,0.6724552516800469,10,89.4821475205656,56.601900415410924,6,1,0.11225588173027362,0
101244,4.544095963771996,14,0.6136382791413081,0.694605069449543,21,75.62763681986262,78.61923261886781,6,2,0.2654431147572316,0
103912,1.5255161736263627,13,0.8066049850498298,0.8007793185023212,11,64.57676885837664,74.05445161840943,6,5,0.2929326286564248,0
106476,0.07663149882359126,1,0.14495010095386548,0.41533780315989655,0,23.105878706836002,4.88775275033222,13,0,0.8240440153743253,1
103132,5.230842032531045,11,0.7055866946942371,0.7265346387416338,5,67.19326305022557,84.92960892877582,2,12,0.22838959406045822,0
104314,5.383760998418474,14,0.60514301364679,0.7008072979264455,18,58.15884665891261,49.72014984719229,4,7,0.3651688087958783,0
103688,1.7646607553377618,11,0.85138713991472,0.9151824272947711,12,68.03885012010687,48.94850458817658,1,3,0.25903750810114523,0
103532,2.805015672164587,13,0.8970526987252574,0.7499636875108213,23,88.03743233346079,25.80313748868421,4,11,0.3894361015510037,0
100696,2.654522212961023,6,0.719738710593871,0.7021439654434973,21,57.6765596425419,47.21228946750454,5,12,0.29769019446314615,0
